Type,Region,Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Slope,y-intercept
ivy-league,us-northeast,Harvard,-1.057473,-2.333275,-3.726742,-1.84069,-2.869477,-2.917216,-3.820909,-4.129395,-4.107001,-3.666681,-5.433845,-4.200837,-5.609824276,0.9336527575,-2.841122036
ivy-league,us-northeast,Dartmouth,1.37,2.03,1.35,0.94,-0.5,-1.18,-1.37,-0.67,1.05,-0.45,-2.53,-2.17,-0.52,0.5259570577,1.116199278
ivy-league,us-northeast,Brown,-2.991369639,-3.671349159,-3.350091814,-4.084350877,-4.615611073,-5.190117699,-6.026915546,-8.408847711,-7.753286091,-7.035055468,-7.238564447,-7.926209308,-6.89811995,0.8638805022,-4.867989286
liberal-arts,us-northeast,Harvard,-1.057473,-2.333275,-3.726742,-1.84069,-2.869477,-2.917216,-3.820909,-4.129395,-4.107001,-3.666681,-5.433845,-4.200837,-5.609824276,0.410938689,-2.836063642
liberal-arts,us-northeast,Dartmouth,1.37,2.03,1.35,0.94,-0.5,-1.18,-1.37,-0.67,1.05,-0.45,-2.53,-2.17,-0.52,-0.1505618677,-0.3098610488
liberal-arts,us-northeast,Brown,-2.991369639,-3.671349159,-3.350091814,-4.084350877,-4.615611073,-5.190117699,-6.026915546,-8.408847711,-7.753286091,-7.035055468,-7.238564447,-7.926209308,-6.89811995,0.5762675098,-4.605853181
liberal-arts,us-west,Pomona College,-0.8458977557,-3.13890028,-3.193595714,-3.568493515,-2.70957912,-4.4015014,-5.927529752,-8.535499274,-8.483771217,-5.88084304,-7.08641926,-6.771481568,,-0.570279725,1144.353493
liberal-arts,us-northeast,Swarthmore,1.41,-0.48,-0.79,-2.12,-3.56,-3.63,-3.84,-5.94,-4.92,-6.6,-6.43,-3.54,-2.65,1.110120066,-3.088321679
liberal-arts,us-northeast,Wellesley,,,,-4.07,-2.66,-3.75,-4.33,-8.59,-7.01,-8.59,-9.58,-6.92,-6.44,0.5711466711,-5.771351463
liberal-arts,us-northeast,Wesleyan,1.472635243,0.7089520323,0.91562436,0.835018186,0.721844165,0.6789552477,0.4857607963,1.116647927,1.598304303,1.403670487,0.3654145306,1.03003994,1.036279604,-0.04036466602,0.8846451918
liberal-arts,us-northeast,Middlebury,-1.279805259,-1.319871764,-3.770691436,-4.083849957,-2.986581778,-3.04732913,-7.126556136,-6.576873105,-5.891277167,-4.97241025,-7.725297981,-6.959314115,-6.677170547,0.569407131,-3.858600864
liberal-arts,us-midwest,Grinnell ,-0.1424643566,0.2175784568,-2.383262438,0.4222796024,-1.439087952,-1.086964265,-1.185886727,-4.055507071,-2.399279958,1.167840548,-0.4820103,2.455126193,-0.2420316207,0.0854016465,-172.8738478
research,us-northeast,Harvard,-1.057473,-2.333275,-3.726742,-1.84069,-2.869477,-2.917216,-3.820909,-4.129395,-4.107001,-3.666681,-5.433845,-4.200837,-5.609824276,-0.289261152,579.6340696
research,us-northeast,Dartmouth,1.37,2.03,1.35,0.94,-0.5,-1.18,-1.37,-0.67,1.05,-0.45,-2.53,-2.17,-0.52,0.003752946402,-6.614467114
research,us-northeast,Brown,-2.991369639,-3.671349159,-3.350091814,-4.084350877,-4.615611073,-5.190117699,-6.026915546,-8.408847711,-7.753286091,-7.035055468,-7.238564447,-7.926209308,-6.89811995,1.097473348,-1.924668364
research,us-west,Stanford,-0.933991,-1.649278,-3.162174,-3.544305,-5.180576,-6.166527,-6.594643,-7.052272,-6.244466,-5.684776,-7.151565,-6.981125,-5.677183,-0.442367522,886.7342412
research,us-west,UC Berkeley,,-1.956874,-2.125204,-4.115583,-3.317728,-3.306349,-4.315531,-5.089661,-5.17,-6.92,-7.18,-6.27,-4.66,0.8050871282,-4.265873312
research,us-west,USC,0.17639993,-0.03237762976,-1.903175925,-1.443932124,-2.522295699,-4.243743232,-5.39254661,-7.123968534,-3.919731934,-2.692837089,-5.143249232,-2.996033492,-0.4720818827,0.9609247384,-2.704855607
research,us-west,BYU,,6.988950576,4.896403359,4.168882951,2.906493523,1.335665891,0.2800310748,2.320210324,1.889712313,2.347615414,1.088530322,0.6010410778,2.321979083,-0.3868863195,782.751723
research,us-northeast,Tufts,-3.176943722,-5.20761566,-3.18805,-4.810099833,-6.126028467,-3.821252713,-3.818753915,-4.332455853,-2.744769862,-6.31155165,-6.979392802,-8.490143942,-7.23179805,0.2391675656,-4.302548159
research,us-south,UT Austin,0.11,-0.57,-0.35,-1.77,-1.02,-2.24,-5.57,-5.82,-3.31,-3.07,-3.72,-2.44,-1.41,0.7401526969,1.882461459
research,us-south,Liberty,4.84,5.82,3.04,4.27,4.58,4.45,2.96,0.37,2.52,2.82,5.72,6.57,4.93,0.2408052197,5.461239822
research,us-south,Rice,,1.246385283,0.9025016084,1.5631955,0.9764905147,-0.306695404,0.8700582901,0.6747627031,0.58746368,-0.1475097848,-0.1043468061,-0.06978369355,0.2824925634,0.2967603938,0.6389992698
research,us-south,Georgia Tech,0.9444453669,1.292221811,0.6871625644,1.039775667,1.112086824,0.7192479487,-2.28285394,-2.923332665,-2.009506344,-3.306010078,-2.880427703,-2.932559853,-3.242280835,0.8626701343,-0.88430426
research,us-south,UNC-Chapel Hill,0.05450395647,-0.7200910849,-1.762282356,-1.105765837,-0.2222258205,-4.548356844,-5.611409162,-5.05847045,-1.33341477,-3.411124718,-4.337586943,-2.69305186,-1.878084758,0.9279060512,-2.320646893
research,us-south,Duke ,-1.140561834,-2.618954569,-2.202200083,-2.198900558,-2.363187219,-3.559323076,-5.273534561,-6.008163944,-6.516377074,-5.654999354,-6.097214356,-4.416552415,-3.94911379,0.6801346107,-3.861286624
research,us-south,University of Virginia,0.05975040235,0.5682571361,0.02624081674,-0.08767286667,0.5479986281,0.516407751,-1.209985101,-1.460718858,-0.7886853966,-0.6937905925,-2.332666565,-2.464692305,-2.083059537,0.5174677134,-0.6177943882
research,us-midwest,University of Chicago,-2.712672016,-2.259220847,-3.10649912,-3.042101026,-3.4888645,-3.192822007,-6.747072915,-8.551015325,-5.988391655,-5.451257061,-6.561401977,-6.196647769,-6.025049538,0.8689934595,-4.693860238
research,us-midwest,Northwestern,3.063202265,1.498057546,2.077294659,1.203206092,0.2468169433,-2.090889503,-3.919767541,-5.565760099,-5.259952744,-4.757699336,-4.800962363,-5.220973243,-3.046684809,1.566548143,-1.724827658
research,us-midwest,"University of Nevada, Reno",,,,3.606308333,1.751554598,0.8587020117,-0.5535773147,-0.3980367717,-0.6167254842,-0.9397283333,-1.021638933,-2.842036947,1.678874,0.8085902716,3.273194443
research,us-midwest,Urbana-Champaign,-2.443304285,-1.838655671,-0.8867182418,1.601865011,1.861882318,-0.4521860714,-1.499261928,-3.776440029,-1.879007683,-1.528325294,-3.371316427,-2.642117348,-4.669182017,0.8696733204,1.402532808